PAL3_PAL_A	Peaxi162Scf00858g00215.1.path1
PAL2_PAL_B	Peaxi162Scf00488g00074.1.path1
PAL1_PAL_C	Peaxi162Scf00123g00096.1.path1
C4H_a	Peaxi162Scf00556g00035.1.path1
C4H_b	Peaxi162Scf00390g00225.1.path1
4CL_a	Peaxi162Scf00314g00086.1.path1
4CL_b	Peaxi162Scf00195g01223.1.path1
4CL_c	Peaxi162Scf00610g00346.1.path1
4CL_d	Peaxi162Scf00207g00334.1.path1
CHS_a1	Peaxi162Scf00047g01225.1.path1
CHS_j	Peaxi162Scf00536g00092.1.path1
CHI_a	Peaxi162Scf00006g00088.1.path1
CHI_b1	Peaxi162Scf00038g01957.1.path1
F3H	Peaxi162Scf00328g01214.1.path1
HT1	Peaxi162Scf00201g00243.1.path1
HF1	Peaxi162Scf00150g00218.1.path1
HF2_1	Peaxi162Scf00108g00417.1.path1
DIF-F	Peaxi162Scf00081g01223.1.path1
FLS	Peaxi162Scf00927g00035.1.path1
DFR_a	Peaxi162Scf00366g00630.1.path1
ANS	Peaxi162Scf00620g00533.1.path1
3GT_1	Peaxi162Scf00163g00081.1.path1
3GT_2_flav	Peaxi162Scf00050g00423.1.path1
RT	Peaxi162Scf00487g00064.1.path1
AAT	Peaxi162Scf00160g00833.1.path1
5GT	Peaxi162Scf00378g00113.1.path1
MT	Peaxi162Scf00518g00430.1.path1
MF1	Peaxi162Scf00089g00427.1.path1
MF2	Peaxi162Scf00316g00055.1.path1
CcoAOMT2	Peaxi162Scf00450g00031.1.path1
CcoAOMT3	Peaxi162Scf00450g00032.1.path1
JAF13	Peaxi162Scf00119g00942.2.path1
CcoAOMT1	Peaxi162Scf00016g02023.1.path1
AN2	Peaxi162Scf00118g00310.1.path1
MYB_FL	Peaxi162Scf00886g00028.1.path1
AN1	Peaxi162Scf00338g00912.1.path1
AN11	Peaxi162Scf00912g00146.1.path1
AN4_1	Peaxi162Scf00578g00008.1.path1
AN4_2	Peaxi162Scf00578g00007.1.path1
AN9_GST	Peaxi162Scf00713g00038.1.path1
DPL	Peaxi162Scf01210g00002.1.path1
MYB27	Peaxi162Scf03779g00019.1.path1
MYBX	Peaxi162Scf00521g00814.1.path1
PH1	Peaxi162Scf00569g00024.1.path1
PH3_fixed	Peaxi162Scf00472g00077.1.path1
PH4	Peaxi162Scf00349g00057.1.path1
PH5	Peaxi162Scf00177g00620.1.path1
PHZ	Peaxi162Scf00658g00110.1.path1
TT2	Peaxi162Scf00177g00512.1.path1
Fading	Peaxi162Scf00071g00030.1.path1
CCoAOMT4	Peaxi162Scf00003g02440.1.path1
CCoAOMT5	Peaxi162Scf00003g02446.1.path1
